Albany Democrat-Herald,https://democratherald.com/
Daily Tidings,https://ashlandtidings.com/
Daily Astorian,https://www.dailyastorian.com/
Bulletin,https://www.bendbulletin.com/
World,https://theworldlink.com/
Gazette-Times,https://www.gazettetimes.com/
Register-Guard,https://www.registerguard.com/
Daily Courier,http://www.thedailycourier.com/
Herald and News,https://www.heraldandnews.com/
Mail Tribune,https://mailtribune.com/
Argus Observer,https://www.argusobserver.com/
East Oregonian,https://www.eastoregonian.com/
News-Review,https://www.nrtoday.com/
Statesman Journal,https://www.statesmanjournal.com/
Dalles Chronicle,https://www.thedalleschronicle.com/
Baker City Herald,https://www.bakercityherald.com/
Bandon Western World,https://theworldlink.com/community/bandon/
Valley Times,https://pamplinmedia.com/beaverton-valley-times-news/
Source Weekly,https://www.bendsource.com/
Cascade Business News,http://cascadebusnews.com/
Curry Coastal Pilot,https://www.currypilot.com/
Canby Herald,https://pamplinmedia.com/canby-herald-news
Illinois Valley News (Facebook page),https://www.facebook.com/ivnews/
Clatskanie Chief,https://www.thechiefnews.com/
Cottage Grove Sentinel,https://cgsentinel.com/
Itemizer-Observer,https://www.polkio.com/
Wallowa County Chieftain,https://www.wallowa.com/
Estacada News,https://pamplinmedia.com/estacada-news-news/
Eugene Weekly,https://www.eugeneweekly.com/
Siuslaw News,https://thesiuslawnews.com/
Outlook,https://pamplinmedia.com/gresham-outlook-home/
Curry County Reporter,http://www.currycountyreporter.com/
Hermiston Herald,https://www.hermistonherald.com/
Hood River News,https://www.hoodrivernews.com/
Blue Mountain Eagle,https://www.bluemountaineagle.com/
Keizertimes,https://www.keizertimes.com/
The Observer,https://www.lagrandeobserver.com/
Lake County Examiner,http://www.lakecountyexam.com/
Lebanon Express,https://lebanon-express.com/
News Guard,https://www.thenewsguard.com/
Madras Pioneer,https://pamplinmedia.com/madras-pioneer-news/
North Coast Citizen,https://www.northcoastcitizen.com/
McKenzie River Reflections,http://mckenzieriverreflectionsnewspaper.com/
News-Register,https://newsregister.com/
Molalla Pioneer,https://pamplinmedia.com/molalla-pioneer-news
Newberg Graphic,https://pamplinmedia.com/newberg-graphic-news
Newport News-Times,https://www.newportnewstimes.com/
Central Oregonian,https://pamplinmedia.com/central-oregonian-news
Umpqua Post,https://theworldlink.com/community/reedsport/
Rogue River Press,http://www.rogueriverpress.com/
Capital Press,https://www.capitalpress.com/
Sandy Post,https://pamplinmedia.com/sandy-post-news/
Chronicle,https://www.thechronicleonline.com/
Nugget Newspaper,https://nuggetnews.com/
Douglas County News,http://www.douglascountynews.info/
New Era,https://www.sweethomenews.com/
Headlight-Herald,https://www.tillamookheadlightherald.com/
Columbia Press,https://www.thecolumbiapress.com/
Woodburn Independent,https://pamplinmedia.com/woodburn-independent-news
Barometer,http://www.orangemedianetwork.com/daily_barometer/
Clackamas Print,https://www.theclackamasprint.net/
Crescent,https://www.gfucrescent.com/
