Advertiser-Gleam,https://www.advertisergleam.com
Alabama Baptist[2],http://www.thealabamabaptist.org
Alabama Messenger[2],https://www.alabamamessenger.com/
Alabama Times,Dead Wiki Link
Alexander City Outlook,http://alexcityoutlook.com
Andalusia Star-News,Dead Wiki Link
Anniston Star,http://www.annistonstar.com
Atmore Advance,http://www.atmoreadvance.com
Auburn Villager,No URL Found
Baldwin Times,http://www.gulfcoastnewstoday.com/baldwin-times/
Birmingham Business Journal[2],http://www.birmingham.bizjournals.com/
Birmingham News[2],http://www.al.com/birmingham/
Birmingham Times,http://www.birminghamtimes.com/
Brewton Standard,Dead Wiki Link
Call News,https://www.thecallnews.com/
Cherokee County Herald,http://www.cherokeeherald.com
Chilton County News,Dead Wiki Link
The Citizen of East Alabama,No URL Found
Clanton Advertiser,Dead Wiki Link
Clark County Democrat,No URL Found
Cleburne News,Dead Wiki Link
Courier Journal,Dead Wiki Link
Cullman Times,http://www.cullmantimes.com/
Cullman Tribune,https://www.cullmantribune.com
Daily Home,http://www.dailyhome.com/
Daily Mountain Eagle,http://mountaineagle.com/
Daily Sentinel,Dead Wiki Link
Daleville Sun-Courier,URL Not Found
Daphne-Spanish Fort Bulletin,Dead Wiki Link
Decatur Daily,http://www.decaturdaily.com/
Dekalb Advertiser,URL Not Found
Democrat-Reporter,No URL Found in infobox
Demopolis Times,https://www.demopolistimes.com/
Dothan Eagle,https://dothaneagle.com/
Elberta-Lillian Ledger,Dead Wiki Link
Enterprise Ledger,Dead Wiki Link
Eufaula Tribune,Dead Wiki Link
Fairhope Courier,Dead Wiki Link
Foley Onlooker,Dead Wiki Link
Franklin County Times,Dead Wiki Link
Gadsden Times,http://www.gadsdentimes.com
Greenville Advocate,Dead Wiki Link
Huntsville Times,http://www.al.com
Independent,Dead Wiki Link
Islander,Dead Wiki Link
Jacksonville News,Dead Wiki Link
Lagniappe,http://lagniappemobile.com/
Lamar Democrat[2],Unhandled
Latino News,Dead Wiki Link
Lowndes Signal,Dead Wiki Link
Luverne Journal,Dead Wiki Link
Millbrook Independent,Dead Wiki Link
Mobile Beacon & Alabama Citizen[2],Dead Wiki Link
Montgomery Advertiser[7],http://www.montgomeryadvertiser.com
Montgomery Independent[2],Dead Wiki Link
News Courier,http://www.enewscourier.com
North Jefferson News,URL Not Found
Northport Gazette,Dead Wiki Link
Opelika-Auburn News,https://oanow.com/
Opelika Observer,Dead Wiki Link
Pickens County Herald,https://pcherald.com/
Piedmont Journal,Dead Wiki Link
Post,Dead Wiki Link
Press-Register[2],http://www.al.com/press-register/
St. Clair Times,Dead Wiki Link
Sand Mountain Reporter,http://www.sandmountainreporter.com
Selma Sun,Dead Wiki Link
Selma Times-Journal,http://www.selmatimesjournal.com/
Shelby County Reporter,Dead Wiki Link
South Alabamian,No URL Found
Southeast Sun,URL Not Found
Southern Star,URL Not Found
Sumter Circular,Dead Wiki Link
Sumter County Record-Journal,Dead Wiki Link
Talk Of Semmes,Dead Wiki Link
Thomasville Times,No URL Found
Times-Journal,http://www.times-journal.com/
Times-Record,URL Not Found
TimesDaily,http://www.timesdaily.com
Troy Messenger,Dead Wiki Link
Tuscaloosa News,https://www.tuscaloosanews.com
Valley Times-News,Dead Wiki Link
Washington County News,https://www.washcountynews.com/
Western Star,No URL Found in infobox
The Auburn Plainsman,http://theplainsman.com/
The Crimson White,https://cw.ua.edu/
The Kaleidoscope,No URL Found
The Vanguard,No URL Found
The Springhillian,No URL Found
The Chanticleer,No URL Found
The Crimson,https://www.thecrimson.com
