Anchorage Daily News,http://adn.com
Daily Sitka Sentinel,http://www.sitkasentinel.com/
Fairbanks Daily News-Miner,http://www.newsminer.com/
Juneau Empire,http://juneauempire.com/
Ketchikan Daily News,http://www.ketchikandailynews.com/
Kodiak Daily Mirror,http://kodiakdailymirror.com
Peninsula Clarion,http://www.peninsulaclarion.com
Alaska Journal of Commerce,http://www.alaskajournal.com
Alaska Star,http://www.alaskastar.com/
Anchorage Press,http://anchoragepress.com/
Arctic Sounder,URL Not Found
Bristol Bay Times,URL Not Found
Capital City Weekly,http://www.capitalcityweekly.com/
Chilkat Valley News,http://chilkatvalleynews.com/
Cordova Times,URL Not Found
The Delta Discovery,http://deltadiscovery.com/
Delta Wind,Dead Wiki Link
Dutch Harbor Fisherman,URL Not Found
Homer News,http://homernews.com/
Mat-Su Valley Frontiersman,http://frontiersman.com/
The Nome Nugget,http://nomenugget.net/
Petersburg Pilot,URL Not Found
Petroleum News,URL Not Found
Seward Journal,http://thesewardjournal.com
Seward Phoenix Log,URL Not Found
Tundra Drums,URL Not Found
The Valdez Star,URL Not Found
Wrangell Sentinel,Dead Wiki Link
The Cordova Cogitator,No URL Found
The Ester Republic,http://esterrepublic.com/
The Skagway News,http://www.skagwaynews.com/
The Northern Light,URL Not Found
Sun Star,http://www.uafsunstar.com/
The Whalesong,http://www.uas.alaska.edu
