Batesville Daily Guard,Dead Wiki Link
The Saline Courier,https://www.bentoncourier.com/
The Camden News,Dead Wiki Link
Log Cabin Democrat,http://thecabin.net/
El Dorado News-Times,Dead Wiki Link
Northwest Arkansas Democrat-Gazette,https://www.nwaonline.com/
Southwest Times Record,http://www.swtimes.com/
The Harrison Daily Times,Dead Wiki Link
Hot Springs Sentinel-Record,http://www.hotsr.com
The Jonesboro Sun,No URL Found in infobox
Arkansas Democrat-Gazette,https://www.arkansasonline.com/
The Baxter Bulletin,http://www.baxterbulletin.com/
Paragould Daily Press,Dead Wiki Link
Pine Bluff Commercial,Dead Wiki Link
The Courier,No URL Found
The Daily Citizen,http://www.TheDailyCitizen.com/
Stuttgart Daily Leader,http://www.stuttgartdailyleader.com
Texarkana Gazette,http://www.texarkanagazette.com/
Little River Post,No URL Found
Atkins Chronicle,Dead Wiki Link
The Johnson County Graphic,No URL Found
Van Buren County Democrat,No URL Found
The Ashley News Observer,Dead Wiki Link
Yell County Record,Dead Wiki Link
Dardanelle Post-Dispatch,Dead Wiki Link
DeWitt Era Enterprise,No URL Found
Washington County Enterprise-Leader,Dead Wiki Link
The Ashley County Ledger,Dead Wiki Link
The Sun-Times,No URL Found
The Helena World,No URL Found
Hot Springs Village Voice,No URL Found
The Chicot County Spectator/Eudora Enterprise,Dead Wiki Link
Arkansas Times,http://arktimes.com/
Petit Jean Country Headlight,Dead Wiki Link
Newport Independent,No URL Found
Times of Northeast Benton County,https://tnebc.nwaonline.com
Wynne Progress,Dead Wiki Link
Cross County Times,No URL Found
The Arkansas Traveler,http://www.uatrav.com
The Echo,Dead Wiki Link
The Arka Tech,Dead Wiki Link
The Oracle,Dead Wiki Link
