CTNewsJunkie,Dead Wiki Link
The Advocate,https://www.stamfordadvocate.com/
The Bristol Press,Dead Wiki Link
The Bulletin,http://www.norwichbulletin.com/
the Chronicle,URL Not Found
The Connecticut Examiner - Old Lyme,https://ctexaminer.com
The Connecticut Mirror,http://www.ctmirror.org/
Connecticut Post,https://www.ctpost.com/
The Day,http://www.theday.com
Fairfield County CT Inquirer,Dead Wiki Link
Greenwich Time,http://www.greenwichtime.com
Hartford Courant,http://www.courant.com
New Britain Herald,Dead Wiki Link
The Hour,http://www.thehour.com
Journal Inquirer,http://www.journalinquirer.com
The Middletown Press,http://www.middletownpress.com
New Haven Register,http://www.nhregister.com/
The News-Times,http://www.newstimes.com
Record-Journal,http://www.myrecordjournal.com/
The Register Citizen,Dead Wiki Link
Republican-American,http://www.rep-am.com/
Afroasia Newspaper,Dead Wiki Link
Amity Observer,Dead Wiki Link
Bethel,No URL Found
The Bloomfield Messenger,Dead Wiki Link
The Branford Review,Dead Wiki Link
Brookfield,No URL Found
The Brookfield Journal,Dead Wiki Link
the Chronicle Weekly,Dead Wiki Link
The Commercial Record,Dead Wiki Link
The Darien Times,https://www.darientimes.com
Darien News-Review,Dead Wiki Link
East Hartford Gazette,Dead Wiki Link
East Haddam News,Dead Wiki Link
Easton,No URL Found
Fairfield Citizen-News,Dead Wiki Link
Fairfield Minuteman,URL Not Found
Glastonbury Citizen,Dead Wiki Link
Haddam-Killingworth News,No URL Found
Herald Press,Dead Wiki Link
Huntington Herald,Dead Wiki Link
Inquirer Group,Dead Wiki Link
Jewish Ledger,http://www.jewishledger.com
Kent Good Times Dispatch,Dead Wiki Link
Killingly Villager,Dead Wiki Link
Litchfield Enquirer,Dead Wiki Link
Monroe,No URL Found
Monroe Courier,Dead Wiki Link
Mystic River Press,Dead Wiki Link
The New Canaan News,Dead Wiki Link
New Haven Advocate,http://www.ctnow.com
New Milford Times,Dead Wiki Link
Newington Town Crier,Dead Wiki Link
The Newtown Bee,https://www.newtownbee.com/
Newtown,No URL Found
North Haven Citizen,Dead Wiki Link
Northend Agents,Dead Wiki Link
Pictorial-Gazette,Dead Wiki Link
Putnam Villager,Dead Wiki Link
The Redding Community Gazette,No URL Found
The Redding Pilot,Dead Wiki Link
Reminder News,http://www.remindernews.com
Ridgefield,No URL Found
The Ridgefield Press,https://www.theridgefieldpress.com
Shoreline Times,Dead Wiki Link
El Sol, URL Not Found
The Sound,Dead Wiki Link
Thomaston Express,Dead Wiki Link
Thompson Villager,Dead Wiki Link
Town Times,Dead Wiki Link
Town Times,Dead Wiki Link
Town Tribune,Dead Wiki Link
Tribuna,Dead Wiki Link
Trumbull Times,Dead Wiki Link
Valley News,Dead Wiki Link
Voices,Dead Wiki Link
West Hartford News,URL Not Found
The Weston Forum,Dead Wiki Link
The Windsor Locks Journal Weekly,Dead Wiki Link
The Windsor Journal Weekly,Dead Wiki Link
Westport Minuteman,URL Not Found
Westport News,Dead Wiki Link
The Wilton Bulletin,Dead Wiki Link
Windsor Journal,Dead Wiki Link
Windsor Locks Journal,Dead Wiki Link
Woodstock Villager,Dead Wiki Link
The Campus Lantern,http://www.easternct.edu
Charger Bulletin,http://www.newhaven.edu
The Daily Campus,http://www.dailycampus.com
The Echo,Dead Wiki Link
Fairfield Mirror,http://fairfieldmirror.com
The Hartford Informer,Dead Wiki Link
Wesleyan Argus,http://www.wesleyan.edu
Yale Daily News,http://www.yaledailynews.com
The Southern News,Dead Wiki Link
The Spectrum,No URL Found
