Alachua County Today,http://www.alachuatoday.com/
Apopka Chief & Planter,Dead Wiki Link
The Apopka Voice, Dead Wiki Link
Arcadia Sun,No URL Found
Bradenton Herald,http://www.bradenton.com
Bradenton Times,http://thebradentontimes.com
Brevard Business News,http://www.brevardbusinessnews.com/
Business Observer,Dead Wiki Link
Citrus County Chronicle,URL Not Found
Charlotte Sun,No URL Found
Clewiston News,URL Not Found
Coral Gables Gazette,http://www.cggazette.com
Creative Loafing Tampa,URL Not Found
Daily Commercial,http://www.dailycommercial.com
Daytona Beach News-Journal,http://www.news-journalonline.com/
East County Observer,Dead Wiki Link
El Nuevo Herald,http://www.elNuevoHerald.com/
El Sentinel[6],http://www.elsentinelorlando.com
El Sentinel del Sur de la Florida,URL Not Found
Englewood Sun,No URL Found
Financial News & Daily Record,http://www.jaxdailyrecord.com/
Florida Daily Post,No URL Found
Florida Keys Keynoter,https://www.flkeysnews.com/
Florida Sentinel Bulletin,URL Not Found
Florida Star,http://thefloridastar.com
Florida Times-Union[8],http://jacksonville.com
Florida Today,http://floridatoday.com/
Floridian Newspaper,No URL Found
Folio Weekly,https://folioweekly.com
Fort Myers Beach Observer[6],Unhandled
Gainesville Sun,http://www.gainesville.com
Hernando Sun,Dead Wiki Link
Highlands Today,http://www.highlandstoday.com/
Holley by the Sea News,No URL Found
Integrate News,Dead Wiki Link
Jackson County Times,Dead Wiki Link
Jacksonville Business Journal[6],http://www.bizjournals.com/jacksonville
Jacksonville Daily Record[6],http://www.jaxdailyrecord.com/
Jacksonville Free Press,http://jacksonvillefreepress.com
Jasper News[6],Unhandled
Jax Air News,URL Not Found
Key West Citizen,https://www.keysnews.com/
Knowhere Treasure Coast,No URL Found
La Gaceta,http://lagacetanewspaper.com
Lakeland Gazette,No URL Found
Lake City Reporter,http://www.lakecityreporter.com
Le Courrier de Floride,https://courrierdesameriques.com/floride
Le Soleil de la Floride,http://www.lesoleildelafloride.com/
Ledger,http://www.theledger.com/
Lehigh Acres Gazette,No URL Found
Lehigh Acres Citizen[6],Unhandled
Longboat Observer,https://www.yourobserver.com/longboat
Lush For Life,Dead Wiki Link
Madison County Carrier,No URL Found
Madison Enterprise-Recorder,No URL Found
Mayo Free Press[6],Unhandled
Miami Herald[15],https://miamiherald.com
Miami New Times[6],https://www.miaminewtimes.com
Miami Today[6],https://www.miamitodaynews.com/
Naples Daily News,https://www.naplesnews.com/
Navarre Beach News,No URL Found
Navarre Press,No URL Found
New Times Broward-Palm Beach,http://www.browardpalmbeach.com
News Chief,http://www.newschief.com
News Herald,http://www.newsherald.com
News-Press,http://www.news-press.com
News-Sun,http://newssun.chicagotribune.com
Northwest Florida Daily News,https://www.nwfdailynews.com/
Orlando Business Journal[6],http://acbj.com/
Orlando Sentinel[6],http://www.orlandosentinel.com/
Orlando Times[6],http://www.orlando-times.com
Orlando Weekly,http://www.orlandoweekly.com
Ormond Beach Observer,Dead Wiki Link
Osceola News–Gazette,Dead Wiki Link
Palatka Daily News,http://www.PalatkaDailyNews.com/
Palm Beach Daily News,http://www.palmbeachdailynews.com
Palm Beach Post,https://www.palmbeachpost.com
Palm Coast Observer,Dead Wiki Link
Pelican Press,https://www.yourobserver.com/siesta-key
Pensacola News Journal,http://pnj.com
Plant City Times & Observer,Dead Wiki Link
Polk County Democrat,URL Not Found
Pompano Post,Dead Wiki Link
Press Journal,http://tcpalm.com
St. Augustine Record,http://staugustine.com
St. Lucie News Tribune,http://tcpalm.com
Sarasota Herald-Tribune,http://heraldtribune.com
Sarasota Observer,http://yourobserver.com/sarasota
South Florida Sun-Times - Hollywood,Dead Wiki Link
South Santa Rosa News,No URL Found
Siesta Key Observer,https://www.yourobserver.com/siesta-key
Space Coast Daily,No URL Found
Star-Banner,http://www.ocala.com
Stuart News,http://tcpalm.com
Sun-Sentinel[6],https://www.sun-sentinel.com/
Suwannee Democrat[6],Unhandled
Tallahassee Democrat,http://tallahassee.com/
Tampa Bay Times[6],http://tampabay.com
tbt*,http://tampabay.com
Venice Gondolier Sun,No URL Found
The Villages Daily Sun,https://www.thevillagesdailysun.com/
Voz de la Calle,No URL Found
West Orange Times,Dead Wiki Link
West Volusia Beacon[1],Dead Wiki Link
Windermere Sun[2],Dead Wiki Link
Windermere Sun[3],Dead Wiki Link
Yulee Bugle,No URL Found
Your World Report,Dead Wiki Link
Zephyrhills News,URL Not Found
