Advance,No URL Found
Albany Herald,http://www.albanyherald.com/
Alma Times,No URL Found
Athens Banner-Herald[1],http://onlineathens.com/abh/
Americus Times-Recorder,http://www.americustimesrecorder.com
Atkinson County Citizen,No URL Found
Atlanta Daily World,http://www.atlantadailyworld.com
Atlanta Inquirer,No URL Found
Atlanta Journal-Constitution,https://www.ajc.com
Atlanta Voice,No URL Found
Augusta Chronicle[1],http://www.augustachronicle.com
Barnesville Herald-Gazette,No URL Found
Berrien Press,No URL Found
Blackshear Times,http://www.theblacksheartimes.com/
Brunswick News,http://thebrunswicknews.com/
Bryan County News,No URL Found
Cairo Messenger,Dead Wiki Link
Calhoun Times,No URL Found
Camilla Enterprise,Dead Wiki Link
Catoosa County News,No URL Found
Champion Newspaper,No URL Found
Charlton County Herald,No URL Found
Cherokee Tribune & Ledger,No URL Found
Citizen,No URL Found
Clayton News,Dead Wiki Link
Clayton Tribune,Dead Wiki Link
Clinch County News,No URL Found
Coastal Courier,Dead Wiki Link
Cochran Journal,No URL Found
Colonnade,URL Not Found
Cordele Dispatch,http://www.cordeledispatch.com/
Courier Herald,No URL Found
Covington News,http://www.covnews.com/
Creative Loafing,https://creativeloafing.com
The Crossroads Chronicle,No URL Found
CrossRoadsNews,Dead Wiki Link
Daily Citizen,http://www.daltondailycitizen.com/
Daily Tribune News,No URL Found
Dawson County News,No URL Found
Dodge County News,No URL Found
Donalsonville News,Dead Wiki Link
Douglas Enterprise,No URL Found
Dunwoody Crier,No URL Found
Early County News,Dead Wiki Link
Effingham Herald,No URL Found
Elberton Star,No URL Found
Fannin Sentinel,Dead Wiki Link
Forest-Blade,No URL Found
Forsyth County News,No URL Found
Franklin County Citizen-Leader,No URL Found
Fulton County Daily Report[1],http://www.dailyreportonline.com
George-Anne,http://www.thegeorgeanne.com/
Georgia Fire News,Dead Wiki Link
Georgia Post,No URL Found
Gwinnett Daily Post,http://gwinnettdailypost.com
Hartwell Sun,https://www.thehartwellsun.com
Henry Herald,Dead Wiki Link
Herald-Leader,No URL Found
Houston Home Journal,No URL Found
Jackson Herald,http://www.jacksonheraldtoday.com
Jackson Progress-Argus,No URL Found
Jeff Davis Ledger,No URL Found
Jones County News,No URL Found
LaGrange Daily News,http://www.lagrangenews.com/
Lake Oconee Breeze,No URL Found
Lanier County News,No URL Found
Ledger-Enquirer[1],http://www.ledger-enquirer.com/
Marietta Daily Journal,http://www.mdjonline.com
Miller County Liberal,Dead Wiki Link
Morgan County Citizen,Dead Wiki Link
Metter Advertiser,No URL Found
Monticello News,No URL Found
Moultrie Observer,http://www.moultrieobserver.com
Newnan Times-Herald,http://times-herald.com
News-Observer,No URL Found
News-Reporter,No URL Found
Northeast Georgian,No URL Found
Ocilla Star,URL Not Found
Pelham Journal,Dead Wiki Link
Post-Searchlight,Dead Wiki Link
Quitman Free Press,No URL Found
Red and Black,http://redandblack.com/
Rockdale-Newton Citizen,Dead Wiki Link
Rockdale News,http://www.rockdalenews.com/
Rome News-Tribune,http://www.romenews-tribune.com
Savannah Morning News[1],http://www.savannahnow.com/
Statesboro Herald,http://statesboroherald.com
Technique,http://nique.net/
Telegraph[1],http://www.macon.com/
Thomasville Times-Enterprise,http://www.timesenterprise.com/
Tifton Gazette,http://www.tiftongazette.com/
Times-Courier,No URL Found
Times-Georgian,No URL Found
Toccoa Record,Dead Wiki Link
Tribune and Georgian,No URL Found
True Citizen,No URL Found
Union Recorder,https://usu.edu.au/
Valdosta Daily Times,http://www.valdostadailytimes.com/
Waycross Journal Herald,Dead Wiki Link
Wheeler County Eagle,Dead Wiki Link
Wiregrass Farmer,URL Not Found
Today News Africa,Dead Wiki Link
