The Garden Island,http://www.thegardenisland.com
Hawaii 24/7,http://www.hawaii247.com
Hawaii Catholic Herald,http://www.hawaiicatholicherald.com
Hawaii Hochi,http://www.thehawaiihochi.com/
Hawaii Tribune-Herald,http://www.hawaiitribune-herald.com/
Honolulu Star-Advertiser,http://www.staradvertiser.com/
Mauitime,No URL Found
The Maui News,http://www.mauinews.com/
Molokai Advertiser-News,URL Not Found
Pacific Business News,http://acbj.com/
West Hawaii Today,http://www.westhawaiitoday.com
Ka Leo O Hawaii,https://www.manoanow.org/kaleo
Ke Kalahea,Dead Wiki Link
