Blackfoot Morning News,Dead Wiki Link
Bonner County Daily Bee,http://www.bonnercountydailybee.com/
Coeur d'Alene Press,http://www.cdapress.com/
The Idaho Press,http://www.idahopress.com
Idaho State Journal,http://www.journalnet.com
Idaho Statesman,http://www.idahostatesman.com/
Lewiston Morning Tribune,http://lmtribune.com/
Moscow-Pullman Daily News,http://www.dnews.com/
Post Register,http://www.postregister.com/
Standard Journal,https://www.rexburgstandardjournal.com/
Times-News,http://www.magicvalley.com/
Pocatello Valley Voice,Dead Wiki Link
