The Beacon-News,http://www.tribpub.com
Belleville News-Democrat,http://www.bnd.com/
Belvidere Daily Republican,Dead Wiki Link
The Benton Evening News,http://www.bentoneveningnews.com/
The Breeze-Courier,Dead Wiki Link
The Carmi Times,http://www.carmitimes.com
Centralia Morning Sentinel,Dead Wiki Link
The Chicago Defender,http://www.chicagodefender.com/
Chicago Sun-Times,https://chicago.suntimes.com
Chicago Tribune,https://www.chicagotribune.com/
The Clay County Advocate-Press,Dead Wiki Link
Commercial-News,http://www.commercial-news.com/
The Courier-News,Dead Wiki Link
Daily Chronicle,https://www.shawlocal.com/daily-chronicle/
Daily Gazette,Dead Wiki Link
Daily Herald,http://dailyherald.com/
Daily Journal,http://www.daily-journal.com/
The Daily Leader,http://www.pontiacdailyleader.com/
The Daily Ledger,http://www.cantondailyledger.com/
Daily Record,Dead Wiki Link
The Daily Register,http://www.dailyregister.com/
The Daily Republican,http://www.dailyrepublicannews.com
Daily Republican Register,Dead Wiki Link
Daily Review Atlas,http://www.reviewatlas.com/
Daily Southtown,https://www.chicagotribune.com/suburbs/daily-southtown/
The Dispatch,https://qconline.com/
Du Quoin Evening Call,http://www.duquoin.com/
Edwardsville Intelligencer,https://www.theintelligencer.com
Effingham Daily News,http://www.effinghamdailynews.com/
Herald & Review,https://herald-review.com/
The Decatur Herald & Review,No URL Found
The Herald & Review,No URL Found
The Morning Herald & Review,No URL Found
Decatur Daily Review,No URL Found
The Decatur Herald,No URL Found
Morning Herald-Dispatch,No URL Found
The Decatur Daily Despatch,No URL Found
The Decatur Morning Herald,No URL Found
The Herald-News,https://www.shawlocal.com/the-herald-news/
Journal-Courier,http://www.myjournalcourier.com/
Journal Gazette & Times-Courier,Dead Wiki Link
The Journal Standard,http://www.journalstandard.com/
Journal Star,http://www.pjstar.com/
Kane County Chronicle,https://www.kcchronicle.com/
Lake County News-Sun,http://newssun.chicagotribune.com
Lincoln Courier,http://www.lincolncourier.com
The McDonough County Voice,http://www.mcdonoughvoice.com/
Morris Daily Herald,Dead Wiki Link
Mt. Vernon Morning Sentinel,Dead Wiki Link
Mt. Vernon Register-News,https://web.archive.org/*/http://www.register-news.com/
Naperville Sun,https://www.chicagotribune.com/suburbs/naperville-sun/
The News-Gazette,http://www.news-gazette.com/
News-Tribune,Dead Wiki Link
Northwest Herald,https://shawlocal.com/northwest-herald/
Olney Daily Mail,http://www.olneydailymail.com/
The Pantagraph,https://www.pantagraph.com/
Paris Beacon-News,Dead Wiki Link
Pekin Daily Times,http://www.pekintimes.com/
Quincy Herald-Whig,https://quincymediacareers.com/
The Register-Mail,http://www.galesburg.com/
Robinson Daily News,Dead Wiki Link
The Rock Island Argus,https://qconline.com/
The Argus,No URL Found
The Rock Island Argus,No URL Found
Milan Independent,No URL Found
Milan Weekly Independent,No URL Found
The Rock Island Argus and Daily Union,No URL Found
Rockford Register Star,http://www.rrstar.com/
Shelbyville Daily Union,http://www.shelbyvilledailyunion.com/
The Sidell Reporter,Dead Wiki Link
The Southern Illinoisan,http://www.thesouthern.com
Star Courier,http://www.starcourier.com/
The State Journal-Register,http://www.sj-r.com
The Telegraph,http://www.thetelegraph.com
The Telegraph,Dead Wiki Link
The Times,Dead Wiki Link
Chicago Dispatcher,http://www.chicagodispatcher.com
The Marengo-Union Times,No URL Found
