Indiana Republic Times,Dead Wiki Link
Anderson Herald Bulletin,http://www.heraldbulletin.com/
The Herald Republican,http://www.kpcnews.com/
The Star,http://www.kpcnews.com/
The Herald Tribune,Dead Wiki Link
Bedford Times-Mail,Dead Wiki Link
The Herald-Times,http://www.heraldtimesonline.com/
Bluffton News Banner,Dead Wiki Link
The Brazil Times,Dead Wiki Link
Jackson County Banner,http://www.thebanner.com/
Chesterton Tribune,No URL Found in infobox
Hoosier Topics,Dead Wiki Link
The daily Clintonian,Dead Wiki Link
The Post & Mail,Dead Wiki Link
The Republic,http://www.therepublic.com
News Examiner,Dead Wiki Link
The Corydon Democrat,Dead Wiki Link
Journal Review,http://www.journalreview.com
The Paper of Montgomery County,URL Not Found
Decatur Daily Democrat,Dead Wiki Link
News Sun & Evening Star,Dead Wiki Link
Carroll County Comet,Dead Wiki Link
The Dubois County Herald,Dead Wiki Link
The Elkhart Truth,http://www.elkharttruth.com/
Evansville Courier & Press,http://www.courierpress.com/
News 4U,Dead Wiki Link
The Journal Gazette,https://www.journalgazette.net/
The News-Sentinel,http://www.news-sentinel.com/
The Times,Dead Wiki Link
Daily Journal of Johnson County,https://dailyjournal.net/
Goshen News,http://www.goshennews.com/
Banner-Graphic,Dead Wiki Link
Daily Reporter,http://www.greenfieldreporter.com
Greensburg Daily News,http://www.greensburgdailynews.com/
Hartford City News-Times,Dead Wiki Link
Herald-Press,Dead Wiki Link
Indianapolis Business Journal,http://www.ibj.com/
Indianapolis Daily Evening Gazette,Dead Wiki Link
The Indianapolis Recorder,http://www.indianapolisrecorder.com
The Indianapolis Star,https://www.indystar.com
The Indianapolis Times,No URL Found in infobox
The Indy Outlook,Dead Wiki Link
The Herald,Dead Wiki Link
Evening News and Tribune,http://www.newsandtribune.com/
The News Sun,http://www.kpcnews.com/
Kokomo Tribune,http://www.kokomotribune.com
Herald-Argus,Dead Wiki Link
Journal & Courier,http://jconline.com/
The Daily Sun,Dead Wiki Link
Lebanon Reporter,http://www.reporter.net/
Greene County Daily World,https://www.gcdailyworld.com/help/partners
Pharos-Tribune,http://www.pharostribune.com/
Madison Courier Online,Dead Wiki Link
Chronicle-Tribune,http://www.chronicle-tribune.com/
Reporter Times,https://www.hoosiertimes.com
Post-Tribune,http://www.post-trib.com/
The News-Dispatch,http://thenewsdispatch.com
The Paper of Montgomery County,URL Not Found
Herald Journal,Dead Wiki Link
The Star Press,http://www.thestarpress.com
Muncie Voice,Dead Wiki Link
The Times of Northwest Indiana,http://nwitimes.com/
The Courier-Times,http://personcountylife.com
The Farmer's Exchange,Dead Wiki Link
Newburgh Chandler Register,Dead Wiki Link
Noblesville Daily Times,Dead Wiki Link
Sagamore News Media,Dead Wiki Link
Plain Dealer & Sun,Dead Wiki Link
Paoli News-Republican,URL Not Found
Peru Tribune,http://www.perutribune.com
The Flyer Group Newspapers,Dead Wiki Link
Shelbyville News,Dead Wiki Link
The Pilot News,https://www.thepilotnews.com/
Commercial Review,Dead Wiki Link
Princeton Daily Clarion,http://www.pdclarion.com
Palladium-Item,https://www.pal-item.com
The Rochester Sentinel,Dead Wiki Link
Rushville Republican,http://www.rushvillerepublican.com/
Seymour Tribune,http://www.tribtown.com
Shelbyville News,Dead Wiki Link
South Bend Tribune,http://southbendtribune.com/
Spencer Evening World,Dead Wiki Link
Journal of Business,URL Not Found
Tribune-Star,http://www.tribstar.com/
Osgood Journal,Dead Wiki Link
Versailles Republican,Dead Wiki Link
Vincennes Sun-Commercial,http://www.suncommercial.com
Wabash Plain Dealer,Dead Wiki Link
Times-Union,Dead Wiki Link
