Ames Tribune,http://www.amestrib.com
Atlantic News-Telegraph,http://www.swiowanewssource.com/atlantic/
Boone News-Republican,No URL Found in infobox
Carroll Daily Times Herald,https://www.carrollspaper.com/
Cedar Rapids Defender – Cedar Rapids (currently unavailable),No URL Found
Charles City Press,Dead Wiki Link
Cherokee Chronicle Times,Dead Wiki Link
Clinton Herald,http://www.clintonherald.com/
Council Bluffs Daily Nonpareil,https://nonpareilonline.com/
Creston News Advertiser,https://www.crestonnews.com
Daily Iowegian,http://www.dailyiowegian.com/
Des Moines Register,https://www.desmoinesregister.com
Estherville Daily News,Dead Wiki Link
Fort Madison Daily Democrat,Dead Wiki Link
The Gazette,https://www.thegazette.com
Globe Gazette,https://globegazette.com/
The Hawk Eye,http://www.thehawkeye.com/
Iowa City Press-Citizen,http://www.press-citizen.com
Keokuk Daily Gate City,Dead Wiki Link
Le Mars Daily Sentinel,Dead Wiki Link
Marshalltown Times Republican,Dead Wiki Link
The Messenger,http://www.messengernews.Net
Mount Pleasant Southeast Iowa Union,Dead Wiki Link
Muscatine Journal,https://muscatinejournal.com/
Newton Daily News,http://www.newtondailynews.com
Oelwein Daily Register,Dead Wiki Link
The Oskaloosa Herald,http://www.oskaloosa.com
Ottumwa Courier,http://www.ottumwacourier.com/
Quad-City Times,http://qctimes.com
Sioux City Journal,http://SiouxCityJournal.com
Spencer Daily Reporter,Dead Wiki Link
Telegraph Herald,http://www.thonline.com
The Valley News,http://www.vnews.com
Vinton Cedar Valley Daily Times,Dead Wiki Link
The Waterloo-Cedar Falls Courier,http://wcfcourier.com/
Webster City Daily Freeman-Journal,Dead Wiki Link
