The Abilene Reflector-Chronicle,http://www.abilene-rc.com/
Atchison Daily Globe,http://www.atchisonglobenow.com
Augusta Daily Gazette – Augusta,http://www.augustagazette.com/
The Chanute Tribune,Dead Wiki Link
Clay Center Dispatch,Dead Wiki Link
Columbus News-Report,Dead Wiki Link
Council Grove Republican,Dead Wiki Link
The Cowley Courier Traveler,http://www.ctnewsonline.com/
The Daily Union,http://www.jcdailyunion.com
Dodge City Daily Globe,http://www.dodgeglobe.com/
The El Dorado Times,https://www.butlercountytimesgazette.com
Emporia Gazette,http://www.emporiagazette.com/
Fort Scott Tribune,http://www.fstribune.com/
Garden City Telegram,http://www.gctelegram.com
Great Bend Tribune,Dead Wiki Link
Hays Daily News,https://www.hdnews.net/
The Hutchinson News,http://www.hutchnews.com
Independence Daily Reporter,Dead Wiki Link
Lawrence Journal-World,https://www.ljworld.com/
Leavenworth Times,http://www.leavenworthtimes.com/
The Manhattan Mercury,http://themercury.com/
McPherson Sentinel,http://www.mcphersonsentinel.com/
The Morning Sun,http://www.morningsun.net
The Newton Kansan,http://www.thekansan.com/
The Olathe News,http://www.theolathenews.com/
Ottawa Herald,http://www.ottawaherald.com/
Parsons Sun,Dead Wiki Link
Shawnee Mission Post,No URL Found in infobox
The Salina Journal,http://www.salina.com
The Topeka Capital-Journal,https://www.cjonline.com/
The Wichita Eagle,http://www.kansas.com
Anderson County Advocate,http://www.andersoncountydailynews.com
Anderson County Review,http://www.garnett-ks.com
The Anthony Republican,http://www.anthonyrepublicannews.com
Baldwin City Gazette,Dead Wiki Link
Basehor Sentinel,URL Not Found
The Belle Plaine News,Dead Wiki Link
The Belleville Telescope,Dead Wiki Link
The Coffeyville Journal,No URL Found in infobox
The Colby Free Press,http://www.nwkansas.com/
The Community Voice,Dead Wiki Link
Concordia Blade-Empire,http://www.bladeempire.com/
Conway Springs Star & Argonia Argosy,Dead Wiki Link
The Courier-Tribune (Kansas),Dead Wiki Link
The Courtland Journal,No URL Found in infobox
The Cunningham Courier,Dead Wiki Link
The De Soto Explorer,URL Not Found
The Derby Informer,Dead Wiki Link
Downs News & Times,Dead Wiki Link
The Eudora News,Dead Wiki Link
The Eureka Herald,Dead Wiki Link
Farm Talk Newspaper,Dead Wiki Link
The Fort Leavenworth Lamp,http://www.ftleavenworthlamp.com/
Garden City Telegram,http://www.gctelegram.com
Hays Post,Dead Wiki Link
Haysville Sun-Times,Dead Wiki Link
The Herington Times,Dead Wiki Link
Hiawatha World,Dead Wiki Link
High Plains Journal,http://www.hpj.com
Hillsboro Free Press,http://www.hillsborofreepress.com/
Hillsboro Star-Journal,http://www.starj.com
The Holton Recorder,Dead Wiki Link
Hometown Girard,Dead Wiki Link
The Humboldt Union,Dead Wiki Link
The Hype Weekly,Dead Wiki Link
The Iola Register,Dead Wiki Link
The Jackson County Journal,Dead Wiki Link
Kansas City Kansan,http://www.kckansan.com
Labette Avenue,Dead Wiki Link
Kiowa County Signal,Dead Wiki Link
The Kiowa News,Dead Wiki Link
Larned Tillers & Toiler,Dead Wiki Link
Marion County Record,http://marionrecord.com
Marysville Advocate,Dead Wiki Link
Montgomery County Chronicle,http://taylornews.org
The Mulberry Advance,URL Not Found
The Oxford Register,Dead Wiki Link
Peabody Gazette-Bulletin,http://www.peabodykansas.com/
The Pratt Tribune,http://www.pratttribune.com/
Prairie Star,Dead Wiki Link
The Rush County News,Dead Wiki Link
The Sentinel-Times,Dead Wiki Link
St John News,Dead Wiki Link
The Times-Sentinel,http://www.tsnews.com/thetimessentinel.html
The Topeka Plaindealer,Dead Wiki Link
Wamego Smoke Signal,Dead Wiki Link
The Wellington Daily News,http://WellingtonDailyNews.com
Advocate,Dead Wiki Link
The Bulletin,Dead Wiki Link
The Campus,Dead Wiki Link
the Collegio,Dead Wiki Link
Kansas State Collegian,http://www.kstatecollegian.com
The Baker Orange,Dead Wiki Link
The Sunflower,Dead Wiki Link
