Independent,http://www.theind.com
The Town Talk,No URL Found
Bastrop Daily Enterprise,http://www.bastropenterprise.com/
Advocate,http://theadvocate.com
Banner,Dead Wiki Link
Bossier Press-Tribune,URL Not Found
Beauregard Daily News,https://www.beauregarddailynews.net/
Donaldsonville Chief,http://www.donaldsonvillechief.com
Gazette,Dead Wiki Link
Franklinton Era-Leader,Dead Wiki Link
Weekly Citizen,Dead Wiki Link
Daily Star,http://www.hammondstar.com
Courier,http://houmatoday.com/
Daily Advertiser,http://www.theadvertiser.com
American Press,Dead Wiki Link
Leesville Daily Leader,http://www.leesvilledailyleader.com/
Avoyelles Journal,https://www.avoyellestoday.com/
Minden Press-Herald,Dead Wiki Link
News-Star,No URL Found
Natchitoches Times,Dead Wiki Link
Daily Iberian,No URL Found
New Orleans Tribune,URL Not Found
The Times-Picayune | The New Orleans Advocate,https://www.nola.com/
The Pointe Coupee Banner,Dead Wiki Link
Daily World,URL Not Found
Post South,Dead Wiki Link
Ruston Daily Leader,http://www.rustonleader.com/
Times,http://www.shreveporttimes.com/
Inquisitor,Dead Wiki Link
North Quachita Weekly,No URL Found
Southwest Daily News,http://www.sulphurdailynews.com/
Daily Comet,http://dailycomet.com/
Ouachita Citizen,http://www.hannapub.com/ouachitacitizen/
The Franklin Sun,https://www.hannapub.com/franklinsun/
The Daily Reveille,https://www.lsureveille.com//
The Tech Talk,https://web.archive.org/web/20210506031715/https://thetechtalk.org/
The Contraband,Dead Wiki Link
The Hullabaloo,http://www.tulanehullabaloo.com/
The Vermilion,Dead Wiki Link
The Xavier Herald,Dead Wiki Link
The Lion’s Roar,No URL Found
The Southern Digest,No URL Found
The Gramblinite,No URL Found
