Bangor Daily News,http://www.bangordailynews.com/
The Portland Times,Dead Wiki Link
Kennebec Journal,http://www.centralmaine.com/
Morning Sentinel,http://www.onlinesentinel.com/
Portland Press Herald,http://pressherald.com
Sun Journal,http://www.sunjournal.com
The Times Record,http://www.timesrecord.com/
The Advertiser Democrat,http://advertiserdemocrat.com
American Journal,URL Not Found
Aroostook Republican,Dead Wiki Link
Augusta Capital Weekly,Dead Wiki Link
The Bar Harbor Times,Dead Wiki Link
The Bates Student,http://www.thebatesstudent.com
The Boothbay Register -,Dead Wiki Link
The Bowdoin Orient,http://bowdoinorient.com
The Bridgton News,Dead Wiki Link
The Calais Advertiser,Dead Wiki Link
The Camden Herald,Dead Wiki Link
The Castine Patriot,Dead Wiki Link
The Citizen,URL Not Found
The Colby Echo,https://medium.com/colby-echo
The Courier Gazette,Dead Wiki Link
The Current,URL Not Found
The Ellsworth American,http://ellsworthamerican.com/newspaper//
The Enterprise,Dead Wiki Link
The Houlton Pioneer Times,Dead Wiki Link
The Island Ad-Vantages,Dead Wiki Link
The Island Times,Dead Wiki Link
Lakes Region Suburban Weekly,URL Not Found
The Lincoln County News,Dead Wiki Link
The Livermore Falls Advertiser,Dead Wiki Link
Machias Valley News Observer,Dead Wiki Link
Magic City Morning Star,No URL Found in infobox
The Maine Campus,http://mainecampus.com/
The Maine Edge,http://www.themaineedge.com
Maine Sunday Telegram,http://pressherald.com
The Maine Switch,Dead Wiki Link
The Mid-Coast Forecaster,http://www.theforecaster.net
Mount Desert Islander,http://ellsworthamerican.com/newspaper//
The Northern Forecaster,http://www.theforecaster.net
The Penobscot Times - Old Town,Dead Wiki Link
The Portland Forecaster,http://www.theforecaster.net
Portland Phoenix,http://www.portlandphoenix.me
The Quoddy Tides,http://www.quoddytides.com
The Reporter,URL Not Found
The Republican Journal,Dead Wiki Link
Six Towns Times,No URL Found in infobox
The St. John Valley Times,URL Not Found
The Star-Herald,Dead Wiki Link
The Southern Forecaster,http://www.theforecaster.net
Sun Chronicle,URL Not Found
Twin City Times,Dead Wiki Link
The Weekly Packet,http://www.weeklypacket.com/
The Weekly Sentinel,Dead Wiki Link
Wiscasset Newspaper,Dead Wiki Link
York County Coast Star,URL Not Found
York Weekly,Dead Wiki Link
