The Aegis,http://www.theaegis.com
Las Américas Newspaper,Dead Wiki Link
Baltimore Afro-American,https://afro.com/
Baltimore Banner,https://www.thebaltimorebanner.com/
The Baltimore Business Journal,http://acbj.com/
The Baltimore Sun,https://www.baltimoresun.com/
Bethesda Journal,Dead Wiki Link
Bowie Blade,No URL Found
The Calvert Recorder,Dead Wiki Link
The Capital,http://www.capitalgazette.com/
Carroll County Times,http://carrollcountytimes.com/
Cecil Whig,http://www.cecildaily.com
Columbia Flier,No URL Found in infobox
Cumberland Times-News,http://times-news.com
The Daily Record,http://www.thedailyrecord.com
Daily Times,http://www.delmarvanow.com
Enquirer-Gazette,No URL Found
The Frederick News-Post,http://FrederickNewsPost.com
The Epoch Times,http://theepochtimes.com
The Enterprise,No URL Found
Maryland Independent,No URL Found
Greenbelt News Review,http://www.greenbeltnewsreview.com/
Herald Mail,http://www.heraldmailmedia.com
The Kent Island Bay Times,http://www.kibaytimes.com
The Maryland Coast Dispatch,Dead Wiki Link
The Prince George’s Sentinel,Dead Wiki Link
The Record-Observer,Dead Wiki Link
The Star Democrat,http://www.stardem.com/
The Times-Record,Dead Wiki Link
The Valley Citizen,Dead Wiki Link
Maryland Gazette,No URL Found
