Albert Lea Tribune,http://www.albertleatribune.com
Austin Daily Herald,http://www.austindailyherald.com/
Brainerd Dispatch',http://brainerddispatch.com
The Daily Journal,https://www.fergusfallsjournal.com/
Daily News,https://www.wahpetondailynews.com/
Duluth News Tribune,http://duluthnewstribune.com
Faribault Daily News,http://www.southernminn.com/faribault_daily_news/
Finance & Commerce,http://finance-commerce.com
The Forum,http://inforum.com
The Free Press,http://www.mankatofreepress.com
Grand Forks Herald[note 2],https://www.grandforksherald.com/
Hibbing Daily Tribune,https://www.hibbingmn.com/
The Journal,http://nujournal.com
Marshall Independent,https://www.marshallindependent.com/
Mesabi Daily News,https://www.virginiamn.com/
Owatonna People's Press,http://www.owatonna.com
The Pioneer,http://www.bemidjipioneer.com/
Post-Bulletin,http://www.postbulletin.com/
Sentinel,http://fairmontsentinel.com
St. Cloud Times,http://www.sctimes.com
St. Paul Pioneer Press,https://www.twincities.com/
Star Tribune,http://www.startribune.com
West Central Tribune,http://www.wctrib.com
Winona Daily News,http://winonadailynews.com/
Access Press,No URL Found
American Jewish World,No URL Found
AfricaPaper[note 4],Unhandled
AgriNews,No URL Found
Asian Pages,No URL Found
The Catholic Spirit,http://thecatholicspirit.com
China Insight,No URL Found
The Circle,Dead Wiki Link
City Business,No URL Found
Feedstuffs,No URL Found
Gente de Minnesota,No URL Found
Heraldo Pages,No URL Found
Hmong Pages,No URL Found
Insight News,No URL Found
Job Dig,No URL Found
Korean Quarterly,No URL Found
Kurier Polski,No URL Found
Labor Review,No URL Found
La Prensa de Minnesota,No URL Found
The Land,http://www.thelandonline.com
Latino Midwest News,No URL Found
La Matraca Magazine,https://lamatracanews.com
MCCL News,No URL Found
Minneapolis Labor Review,No URL Found
Minnesota Christian Chronicle,No URL Found
Minnesota Explorer,No URL Found
Minnesota Good Age,No URL Found
Minnesota Lawyer,No URL Found
Minnesota Legionnaire,No URL Found
Minnesota Parent,No URL Found
Minnesota Real Estate Journal,No URL Found
Minnesota Spokesman-Recorder,https://spokesman-recorder.com/
Minnesota's Women's Press,No URL Found
Native American Press/Ojibwe News,No URL Found
NatureScape News,No URL Found
One Nation News,No URL Found
Outdoor News,No URL Found
Phoenix Spirit,No URL Found
Pro-Family News,No URL Found
Senior Perspective,No URL Found
St. Cloud Visitor,No URL Found
St. Paul Legal Ledger,No URL Found
Zerkalo – Minnesota News,No URL Found
The Echo,https://archives.augsburg.edu/islandora/object/AUGrepository:echo
Northern Student,Dead Wiki Link
The Clarion,Dead Wiki Link
The Carletonian,Dead Wiki Link
The Record,Dead Wiki Link
The Concordian,Dead Wiki Link
The Gustavian Weekly,Dead Wiki Link
The Oracle,Dead Wiki Link
Luther Seminary,No URL Found
The Mac Weekly,http://www.macalester.edu
The Reporter,Dead Wiki Link
The Northerner,Dead Wiki Link
St. Catherine,No URL Found
The Manitou Messenger,Dead Wiki Link
St. Thomas,No URL Found
The Statesman,Dead Wiki Link
Minnesota Daily,http://www.mndaily.com/
The Winonan,Dead Wiki Link
