Elko Daily Free Press,https://lee.net/
Las Vegas Review-Journal,http://www.reviewjournal.com/
Las Vegas Sun,http://lasvegassun.com
Reno Gazette-Journal,http://rgj.com
Battle Mountain Bugle,Dead Wiki Link
Boulder City Review,Dead Wiki Link
Clark County Legal News,Dead Wiki Link
High Desert Advocate,Dead Wiki Link
Lahontan Valley News,Dead Wiki Link
Nevada Legal Press,Dead Wiki Link
Nevada Appeal,https://www.nevadaappeal.com
Pahrump Valley Times,https://pvtimes.com/
Record-Courier,https://www.recordcourier.com
Reno News,No URL Found
Sparks Tribune,Dead Wiki Link
Tonopah Times-Bonanza and Goldfield News,Dead Wiki Link
