America Oggi (Italian Language),https://www.americaoggi.us/
Asbury Park Press,http://app.com/
Burlington County Times,http://www.burlingtoncountytimes.com/
Courier News,http://MyCentralJersey.com/
Courier-Post,http://courierpostonline.com/
The Daily Journal,No URL Found in infobox
Daily Record,http://dailyrecord.com/
Daily Targum Rutgers University (Student Newspaper),http://www.dailytargum.com
Herald News,http://northjersey.com
Home News Tribune,http://www.mycentraljersey.com
Jersey Journal,http://www.nj.com/jjournal
New Jersey Herald,http://www.njherald.com/
The Press of Atlantic City,http://www.pressofatlanticcity.com
The Record,http://northjersey.com
South Jersey Times,http://www.nj.com/southjerseytimes/
The Star-Ledger,https://www.nj.com/starledger/
The Times,http://www.nj.com/times/
The Trentonian,http://www.trentonian.com
Amerikai Magyar népszava szabadság,No URL Found
The Armenian Reporter,No URL Found
Attan-akamik News,No URL Found
The Aquarian Weekly,http://theaquarian.com
El Especialito,http://www.elespecial.com
The Italian Tribune,No URL Found
Jewish Times of South Jersey,No URL Found
Latinos Unidos de Neuva Jersey,No URL Found
The Manila Times East,No URL Found
New Jersey Jewish News,No URL Found
Pol-Am Journal,No URL Found
Quisqueya News,No URL Found
The Arab Voice,URL Not Found
Svoboda,http://svoboda-news.com/
La Tribuna de New Jersey & New York,No URL Found
Woman's Newspaper,No URL Found
Xin xiang zhou kan,No URL Found
The Daily Princetonian,http://www.dailyprincetonian.com
The Daily Targum,http://www.dailytargum.com
The Newark Targum,http://www.newarktargum.com
