AM New York,https://www.amny.com
The Buffalo News,https://buffalonews.com/
The Citizen,https://auburnpub.com/
Columbia Daily Spectator,https://www.columbiaspectator.com
The Cornell Daily Sun,https://cornellsun.com
The Daily Bugle -,URL Not Found
Akhon Samoy,http://akhonsamoy.com
Al-Hoda,URL Not Found
Algemeiner Journal,http://algemeiner.com
The Altamont Enterprise,https://altamontenterprise.com
Am-Pol Eagle,URL Not Found
Amerikai Magyar Szo,URL Not Found
Arcade Herald,https://www.arcadeherald.com/
Armenian Reporter International,Dead Wiki Link
Der Blatt,http://www.derblatt.com
Bronx Times-Reporter,http://www.bxtimes.com
Brooklyn Eagle,http://www.brooklyneagle.com
The Brooklyn Rail,URL Not Found
Buffalo Beast,http://buffalobeast.com
The Chief-Leader,https://www.thechiefleader.com
The Chronicle (Goshen and Chester),URL Not Found
CityArts,No URL Found in infobox
Dan's Papers - Eastern Long Island,No URL Found
El Correo NY - New York City,No URL Found
El Diario La Prensa,http://www.eldiariony.com
Farmingdale Observer,URL Not Found
Filipino Reporter,No URL Found in infobox
Garden City Life,URL Not Found
Glen Cove Record Pilot,URL Not Found
Great Neck Record,URL Not Found
Haïti Progrès,http://haitiprogres.com
Hamburg Sun,https://sun-news.com/
Hamodia,http://hamodia.com
Hofstra Chronicle,http://www.hofstra.edu
Irish Voice,URL Not Found
The Jewish Daily Forward,https://forward.com
Jewish Post of New York,URL Not Found
Jewish Press,http://www.jewishpress.com
Journal of Commerce,URL Not Found
Legislative Gazette,http://www.legislativegazette.com/
Levittown Tribune,URL Not Found
Lewiston-Porter Sentinel,https://www.wnypapers.com/content/pages/lewiston-porter-sentinel
Long Island Business News,http://www.libn.com/
Long Island Exchange,http://www.longislandexchange.com/
Long Island Press,https://www.longislandpress.com
Long Islander News,http://www.longislandernews.com/
Manhasset Press,URL Not Found
Massapequa Observer,URL Not Found
Mineola American,URL Not Found
Nassau Herald,http://www.liherald.com
National Herald (ETHNIKOS KERYX),https://www.thenationalherald.com
Noticia - Nassau & Suffolk Counties,No URL Found
New Hyde Park Illustrated News,URL Not Found
New York Amsterdam News,http://amsterdamnews.com
The New York Observer,https://observer.com
New York Press,http://nypress.com
New York Sun,http://www.nysun.com/
New Yorker Staats-Zeitung,http://www.germancorner.com/NYStaatsZ/
North County News,https://www.baltimoresun.com/
Norwood News,http://www.norwoodnews.org/
Nowy Dziennik,http://www.dziennik.com/
Outreach,URL Not Found
Oyster Bay Enterprise-Pilot,URL Not Found
Oyster Bay Guardian,No URL Found in infobox
People's Weekly World,http://www.peoplesworld.org
Plainview-Old Bethpage Herald,URL Not Found
The Port Times Record,No URL Found
Port Washington News,URL Not Found
The Jewish Star,http://www.thejewishstar.com
Queens Chronicle,http://www.queenschronicle.com
The Riverdale Press,http://riverdalepress.com
The Roslyn News,URL Not Found
The Southampton Press,Unhandled
The Sag Harbor Express,No URL Found
Super Express USA,http://www.se.pl/
Syosset-Jericho Tribune,URL Not Found
Tiesa,URL Not Found
Times Journal of Cobleskill,http://www.timesjournalonline.com/index.asp
The Times of Huntington-Northport,No URL Found
The Times of Middle Country,https://tbrnewsmedia.com/times-of-middle-country/
The Times of Smithtown,https://tbrnewsmedia.com/times-of-smithtown/
Vaba Eesti Sona,URL Not Found
The Village Beacon Record,No URL Found
The Village Times Herald,No URL Found
Village Voice,http://villagevoice.com
The Villager,http://www.thevillager.com
Wantagh Herald Citizen,http://www.liherald.com/wantagh/
Warwick Advertiser,URL Not Found
Warwick Valley Dispatch,Dead Wiki Link
The Westbury Times,URL Not Found
Yated Ne'eman,http://www.yated.com
Der Yid,http://www.deryid.org/
