Bismarck Tribune,http://bismarcktribune.com
Devils Lake Daily Journal,http://www.devilslakejournal.com
The Dickinson Press,https://www.thedickinsonpress.com/
The Forum of Fargo-Moorhead,http://inforum.com
Grand Forks Herald,https://www.grandforksherald.com/
Jamestown Sun,http://www.jamestownsun.com
Minot Daily News,http://www.minotdailynews.com
Valley City Times-Record,https://www.times-online.com/
Wahpeton Daily News,https://www.wahpetondailynews.com/
Williston Herald,http://www.willistonherald.com
Adams County Record,Dead Wiki Link
Aneta Star,Dead Wiki Link
Ashley Tribune,Dead Wiki Link
Benson County Farmers Press,Dead Wiki Link
Beulah Beacon,Dead Wiki Link
Billings County Pioneer,Dead Wiki Link
Bottineau Courant,Dead Wiki Link
Bowman County Pioneer,Dead Wiki Link
Burke County Tribune,Dead Wiki Link
Carson Press,Dead Wiki Link
Cass County Reporter,Dead Wiki Link
Cavalier Chronicle,Dead Wiki Link
Cavalier County Republican,Dead Wiki Link
The Center Republican,Dead Wiki Link
Crosby Journal,Dead Wiki Link
Dickey County Leader,Dead Wiki Link
Dunn County Herald,Dead Wiki Link
Edgeley Mail,Dead Wiki Link
Edmore Herald,Dead Wiki Link
The Enderlin Independent,Dead Wiki Link
Emmons County Record,https://www.ecrecord.com/
Glen Ullin Times,Dead Wiki Link
Grant County News,Dead Wiki Link
Foster County Independent,Dead Wiki Link
Gleaner,Dead Wiki Link
Golden Valley News,Dead Wiki Link
Griggs County Courier,Dead Wiki Link
Hatton Free Press,Dead Wiki Link
Hazen Star,Dead Wiki Link
Hebron Herald,Dead Wiki Link
The Herald-Press,http://www.heraldpressnd.com
The Herald,Dead Wiki Link
Hillsboro Banner,http://www.hillsborobanner.com/
The Independent,Dead Wiki Link
The Kenmare News,Dead Wiki Link
Kulm Messenger,Dead Wiki Link
Lake Metigoshe Mirror,Dead Wiki Link
Lakota American,Dead Wiki Link
LaMoure Chronicle,Dead Wiki Link
Larimore Leader-Tribune,Dead Wiki Link
The Leader-News,Dead Wiki Link
Litchville Bulletin,Dead Wiki Link
Mandan News,Dead Wiki Link
The McClusky Gazette,Dead Wiki Link
McKenzie County Farmer,http://www.watfordcitynd.com
McLean County Independent,Dead Wiki Link
McLean County Journal,Dead Wiki Link
McVille Messenger,Dead Wiki Link
Mountrail County Promoter,Dead Wiki Link
Mountrail County Record,Dead Wiki Link
Mouse River Journal,Dead Wiki Link
Napoleon Homestead,Dead Wiki Link
Nelson County Arena,Dead Wiki Link
New Rockford Transcript,https://www.newrockfordtranscript.com/
New Salem Journal,Dead Wiki Link
New Town News and Sanish Sentinel,Dead Wiki Link
Oakes Times,Dead Wiki Link
Pembina New Era,Dead Wiki Link
The Pierce County Tribune,Dead Wiki Link
Ransom County Gazette,Dead Wiki Link
Renville County Farmer,Dead Wiki Link
Richland County News-Monitor,Dead Wiki Link
The Sargent County Teller,Dead Wiki Link
The Standard,Dead Wiki Link
Steele County Press,Dead Wiki Link
Steele Ozone and Kidder County Press,Dead Wiki Link
Tioga Tribune,Dead Wiki Link
Towner County Record-Herald,Dead Wiki Link
Traill County Tribune,Dead Wiki Link
Tri-County News,Dead Wiki Link
Tri-County Sun,Dead Wiki Link
Turtle Mountain Star,Dead Wiki Link
Turtle Mountain Times,No URL Found in infobox
The Underwood News,Dead Wiki Link
Valley News and Views,Dead Wiki Link
Velva Area Voice,Dead Wiki Link
Walhalla Mountaineer,Dead Wiki Link
Walsh County Press,Dead Wiki Link
The Walsh County Record,http://www.wcrecord.com
West Fargo Pioneer,Dead Wiki Link
Wishek Star,Dead Wiki Link
The Collegian,No URL Found
Dakota Student,https://dakotastudent.com
The Hawk,No URL Found
The Mystician,No URL Found
Red and Green,No URL Found
The Spectrum,URL Not Found
The Summit,No URL Found
The Orbit,No URL Found
