The Ada News,www.theadanews.com
Allen Advocate,URL Not Found
Altus Times,http://www.altustimes.com
Alva Review-Courier,http://www.alvareviewcourier.com
The American[1],Unhandled
Anadarko Daily News,No URL Found in infobox
Antlers American,No URL Found
Apache News,No URL Found
Ardmore Ardmoreite,http://www.ardmoreite.com
The Atoka County Times,http://www.atokacountytimes.com
Baptist Messenger,http://baptistmessenger.com/
Bartlesville Examiner-Enterprise,http://www.examiner-enterprise.com
Beaver Herald Democrat,No URL Found
Bethany Tribune,No URL Found
Bigheart Times,No URL Found
Bishinik,https://www.choctawnation.com/biskinik-newspaper-archive
The Black Chronicle,http://www.blackchronicle.com/
Blackwell Journal Tribune,http://www.blackwelljournaltribune.net
Blanchard News,No URL Found
Boise City News,No URL Found
Bristow News and Record Citizen,No URL Found
The Broken Arrow Ledger,http://www.baledger.com
Broken Bow News,No URL Found
Bryan County Star,No URL Found
Buffalo Weekly News,No URL Found
Canton Times,No URL Found
The Capitol Hill Beacon,No URL Found in infobox
Carnegie Herald,No URL Found
Chelsea Reporter,No URL Found
Cherokee Advocate,No URL Found
Cherokee Messenger and Republican,No URL Found
Cheyenne Star,No URL Found
Chickasaw Times,No URL Found
Chickasha Express Star,http://www.chickashanews.com/
Choctaw Times,No URL Found
Choctaw County Times,No URL Found
Chronicles of Grand Lake,No URL Found
(Oklahoma) City Sentinel,No URL Found
Claremore Daily Progress,http://www.claremoreprogress.com
Clayton Today,No URL Found
Cleveland American,No URL Found
Cleveland County Chronicle,No URL Found
Clinton Daily News,URL Not Found
Coalgate Record Register,URL Not Found
Collinsville News,No URL Found
The Comanche Nation News,No URL Found
The Comanche Times,No URL Found
Cordell Beacon,No URL Found
County Times,No URL Found
Country Connection,No URL Found
Coweta American,No URL Found
Cushing Citizen,http://www.cushingcitizen.com
Cyril News,No URL Found
Daily Ardmoreite,http://www.ardmoreite.com
Daily O'Collegian,URL Not Found
Davis News,No URL Found
Delaware County Journal,No URL Found
Delaware Indian News,No URL Found
Dewey County Publisher,No URL Found
Drumright Gusher,No URL Found
Duncan Banner,http://www.duncanbanner.com
Durant Daily Democrat,http://www.durantdemocrat.com/
Eastern Oklahoma Catholic,No URL Found in infobox
Eastern Times Register,No URL Found
Edmond Sun,http://www.edmondsun.com
Edmond Life & Leisure,No URL Found
El Dorado Courier,No URL Found
The Elk Citian,No URL Found
Elk City Daily News,http://www.ecdailynews.com
Ellis County Capital,No URL Found
El Nacional,Dead Wiki Link
El Reno Tribune,Dead Wiki Link
The Enid News & Eagle,http://www.enidnews.com
Eufaula Indian Journal[5],Unhandled
Fairfax Chief,No URL Found
Fairland American,No URL Found
Fairview Republican,No URL Found
Fletcher Herald,No URL Found
Fort Cobb Journal,No URL Found
Fort Gibson Times,No URL Found
Fort Sill Cannoneer,Dead Wiki Link
Frederick Leader,No URL Found
Frederick Press,No URL Found
Freedom Call,No URL Found
Gage Record,No URL Found
Garber-Billings News,No URL Found
Garvin County News Star,No URL Found
Geary Star,No URL Found
Grove Sun,Dead Wiki Link
Guthrie News Leader,Dead Wiki Link
Guymon Daily Herald,Dead Wiki Link
Hartshorne Sun,No URL Found
Haskell News,No URL Found
Healdton Herald,No URL Found
Heavener Ledger,No URL Found
Hennessey Clipper,No URL Found
Henryetta Free-Lance,Dead Wiki Link
Hinton Record,No URL Found
Hobart Democrat Chief,No URL Found
Holdenville News,Dead Wiki Link
Holdenville Tribune,Dead Wiki Link
Hollis News,No URL Found
Hominy News Progress,No URL Found
Hooker Advance,No URL Found
Hownikan,Dead Wiki Link
Hugo Daily News,Dead Wiki Link
Hughes County Times,No URL Found
Inola Independent,No URL Found
Johnson County Capital Democrat,No URL Found
The Journal Record,http://www.journalrecord.com/
Kingfisher Times and Free Press,No URL Found
Kiowa County Democrat,No URL Found
Konawa Leader,No URL Found
Latimer County News Tribune,No URL Found
Latimer County Today,No URL Found
Laverne Leader Tribune,No URL Found
Lawton Constitution,http://swoknews.com
The Lincoln County News,No URL Found
Lindsay News,No URL Found
Lone Grove Ledger,No URL Found
The Madill Record,Dead Wiki Link
Mangum Star News,No URL Found
The Mannford Reporter,No URL Found
Marietta Monitor,No URL Found
Marlow Review,No URL Found
McAlester News Capital and Democrat,http://www.mcalesternews.com
McCurtain County Gazette,Dead Wiki Link
McIntosh County Democrat,Dead Wiki Link
Medford Patriot Star & Grant County Journal,No URL Found
Meeker News,No URL Found
Miami News-Record,http://www.miamiok.com/
Midwest City Beacon,Dead Wiki Link
Minco-Union City Times,Dead Wiki Link
Moore American,Dead Wiki Link
Mooreland Leader,No URL Found
Morris News,No URL Found
Mountain View News,No URL Found
Muscogee Nation News,No URL Found in infobox
Muskogee Daily Phoenix & Times Democrat,http://www.muskogeephoenix.com
Mustang News,Dead Wiki Link
Mustang Times,Dead Wiki Link
Native American Times,https://www.nativetimes.com
Newcastle Pacer,Dead Wiki Link
Newkirk Herald Journal,No URL Found
Norman Transcript,http://www.normantranscript.com
Northwest Oklahoman & Ellis County News,No URL Found
Nowata Star,No URL Found
Okarche Chieftain,No URL Found
Okeene Record,No URL Found
Okemah News Leader,No URL Found
Oklahoma Banker,Dead Wiki Link
Oklahoma City Friday,Dead Wiki Link
Oklahoma City Herald,Dead Wiki Link
Oklahoma Daily,http://oudaily.com
Oklahoma Eagle,http://theoklahomaeagle.net/
Oklahoma Gazette,http://okgazette.com/
The Oklahoman[5],http://www.oklahoman.com
Okmulgee Daily Times,Dead Wiki Link
Oologah Lake Leader,Dead Wiki Link
Owasso Reporter,http://www.owassoreporter.com
Pauls Valley Daily Democrat,http://www.paulsvalleydailydemocrat.com
Pawhuska Journal-Capital,Dead Wiki Link
Pawnee Chief,No URL Found
Perkins Journal,Dead Wiki Link
Perry Daily Journal,Dead Wiki Link
Piedmont Surrey Gazette,No URL Found
The Ponca City News,Dead Wiki Link
Pond Creek Herald,No URL Found
Pottawatomie County Democrat,No URL Found
