Albany Democrat-Herald,https://democratherald.com/
Ashland Daily Tidings,No URL Found in infobox
The Daily Astorian,http://www.dailyastorian.com
The Bulletin,https://www.bendbulletin.com/
Corvallis Gazette-Times,https://www.gazettetimes.com/
The Register-Guard,http://registerguard.com
Grants Pass Daily Courier,http://www.thedailycourier.com
Herald and News,http://www.heraldandnews.com
The News Guard,www.thenewsguard.com/
Mail Tribune,http://mailtribune.com
Argus Observer,http://argusobserver.com
East Oregonian,http://www.eastoregonian.com
The Oregonian,http://www.oregonlive.com/
The News-Review,https://www.nrtoday.com/
Statesman Journal,http://statesmanjournal.com/
The Dalles Chronicle,http://thedalleschronicle.com
The Clackamas Print,http://www.theclackamasprint.com/
Concordia Chronicles,No URL Found
Hilltop News,No URL Found
Eastern Voice,No URL Found
The Crescent,No URL Found
The Torch,No URL Found
The Pioneer Log,No URL Found
The Linfield Review,https://thelinfieldreview.com/
The Commuter,No URL Found
The Advocate,No URL Found
The Edge,No URL Found
The Daily Barometer,http://www.orangemedianetwork.com/daily_barometer/
The Pacific Index,http://www.pacindex.com
Daily Vanguard,http://www.psuvanguard.com
The Quest,No URL Found
The Siskiyou,No URL Found
Daily Emerald,http://dailyemerald.com/
The Beacon,No URL Found
The Western Oregon Journal,No URL Found
The Collegian,http://www.willamettecollegian.com/
