Altoona Mirror,http://www.altoonamirror.com/
Beaver County Times,http://www.timesonline.com
The Bradford Era,No URL Found
Butler Eagle,URL Not Found
Bucks County Courier Times,http://www.buckscountycouriertimes.com/
Bucks County Herald,No URL Found
Centre Daily Times,http://www.centredaily.com/
Citizens' Voice,http://citizensvoice.com/
Courier-Express,No URL Found
The Daily American,No URL Found
The Daily Collegian,https://dailycollegian.com/
The Daily Item,http://www.dailyitem.com/
The Daily Local News,http://dailylocal.com
The Daily News,No URL Found
The Daily News,http://www.triblive.com
The Derrick/The News-Herald,No URL Found
Danville News,No URL Found
Delaware County Daily Times,http://www.delcotimes.com/
Ellwood City Ledger,No URL Found
Erie Times-News,http://goerie.com
The Express,No URL Found
The Express-Times,http://www.lehighvalleylive.com
Gettysburg Times,http://www.gettysburgtimes.com/
Gettysburg Connection - Gettysburg,No URL Found
The Herald,https://www.sharonherald.com
The Herald-Standard,http://www.heraldstandard.com
Indiana Gazette,http://www.indianagazette.com
The Intelligencer,http://www.theintell.com/
Kane Republican,No URL Found
LNP,https://lancasteronline.com/
The Mercury,https://www.pottsmerc.com
Metro,http://www.metro.us/philadelphia/
The Morning Call,http://mcall.com/
Morning Times,No URL Found
The News-Item,http://www.newsitem.com
Observer-Reporter,http://observer-reporter.com
Philadelphia Daily News,http://www.philly.com/
Philadelphia Front Page News,URL Not Found
The Philadelphia Inquirer,http://inquirer.com
Philadelphia News,No URL Found
Philadelphia Tribune,https://www.phillytrib.com/
Pittsburgh Tribune-Review,http://www.triblive.com
Pocono Record,http://poconorecord.com/
Potter Leader Enterprise,No URL Found
Press Enterprise,http://www.pressenterpriseonline.com
The Progress,No URL Found
Public Opinion,No URL Found
Reading Eagle,http://www.readingeagle.com/
Record-Argus,No URL Found
The Record Herald,http://www.therecordherald.com/
The Reporter,No URL Found
The Republican & Herald,http://republicanherald.com/
Ridgway Record,No URL Found
St. Marys Daily Press,No URL Found
The Sentinel,http://cumberlink.com/
The Sentinel,No URL Found
Standard-Journal,No URL Found
Standard-Speaker,URL Not Found
Times Herald,No URL Found
Times Leader,http://timesleader.com
Times News,No URL Found in infobox
The Times-Tribune,http://www.thetimes-tribune.com/
The Tribune-Democrat,http://tribune-democrat.com/
Titusville,No URL Found
Wayne Independent,No URL Found in infobox
Wellsboro Gazette,No URL Found
Williamsport Sun Gazette,http://sungazette.com/
York Daily Record,http://www.ydr.com
The York Dispatch,http://www.yorkdispatch.com
