Aberdeen American News,http://www.aberdeennews.com/
Alcester Union & Hudsonite,Dead Wiki Link
Argus Leader,http://argusleader.com
Arlington Sun,Dead Wiki Link
Bennett County Booster II,Dead Wiki Link
Beresford Republic,URL Not Found
Bison Courier,Dead Wiki Link
Black Hills Pioneer,http://www.bhpioneer.com/
Brandon Valley Challenger,Dead Wiki Link
Britton Journal,Dead Wiki Link
Brookings Register,http://www.brookingsregister.com
Capital Journal,https://www.capjournal.com/
Clark County Courier,http://www.clarkcountypublishing.com/
Clear Lake Courier,Dead Wiki Link
Custer County Chronicle,Dead Wiki Link
Day County Reporter and Farmer,Dead Wiki Link
Faulk County Record,Dead Wiki Link
Freeman Courier,URL Not Found
Grant County Review,Dead Wiki Link
Gregory Times-Advocate,Dead Wiki Link
Hot Springs Star,Dead Wiki Link
Huron Plainsman,http://www.plainsman.com
Indian Country Today,https://indiancountrytoday.com/
Kadoka Press,Dead Wiki Link
Lakota Daily Times,Dead Wiki Link
Lennox Independent,Dead Wiki Link
Madison Daily Leader,Dead Wiki Link
Meade County Times-Tribune,Dead Wiki Link
Miller Press,Dead Wiki Link
Miner County Pioneer,Dead Wiki Link
Mitchell Daily Republic,http://www.mitchellrepublic.com/
Mobridge Tribune,Dead Wiki Link
Moody County Enterprise,Dead Wiki Link
Onida Watchman,Dead Wiki Link
Parkston Advance,Dead Wiki Link
Pioneer Review,Dead Wiki Link
Plain Talk,URL Not Found
Platte Entreprise,Dead Wiki Link
Potter County News,Dead Wiki Link
Prairie Pioneer,Dead Wiki Link
Rapid City Journal,http://www.rapidcityjournal.com/
Redfield Press,Dead Wiki Link
Sioux Valley News,Dead Wiki Link
Sisseton Courier,Dead Wiki Link
Sota Iya Ye Yapi,Dead Wiki Link
South Dakota Messenger,URL Not Found
Southern Union County Leader-Courier,Dead Wiki Link
Timber Lake Topic,Dead Wiki Link
Todd County Tribune,Dead Wiki Link
True Dakotan,http://www.truedakotan.com
Vermillion Plain Talk,Dead Wiki Link
Wagner Post,Dead Wiki Link
Watertown Public Opinion,http://www.thepublicopinion.com/
West River Eagle,Dead Wiki Link
Winner Advocate,Dead Wiki Link
Woonsocket Sanborn Weekly Journal,Dead Wiki Link
Yankton Daily Press & Dakotan,Dead Wiki Link
