Advertiser News,http://cdh.columbiadailyherald.com/affiliate/advertisernews/
Ashland City Times,Dead Wiki Link
Buffalo River Review,Dead Wiki Link
Camden Chronicle,Dead Wiki Link
Chattanooga Courier,Dead Wiki Link
Chattanooga Pulse,Dead Wiki Link
Chattanooga Times Free Press[2],http://timesfreepress.com/
Chester County Independent,Unhandled
Citizen Tribune,https://www.citizentribune.com
Cleveland Daily Banner,http://www.clevelandbanner.com
The Commercial Appeal,http://commercialappeal.com
Covington Leader,Dead Wiki Link
The Crockett Times,No URL Found in infobox
Crossville Chronicle,http://www.crossville-chronicle.com
The Daily Beacon,http://www.utk.edu
The Daily Herald,http://www.columbiadailyherald.com
The Daily News,URL Not Found
The Daily News Journal,http://www.dnj.com
Daily Post Athenian,URL Not Found
The Democratic-Union, Dead Wiki Link
Dresden Enterprise,Dead Wiki Link
Dyersburg State Gazette,http://www.stategazette.com/
Eagleville Times,Dead Wiki Link
El Crucero Newspaper,Dead Wiki Link
Elizabethton Star,Dead Wiki Link
Elk Valley Times,Dead Wiki Link
Farragutpress,Dead Wiki Link
The Gallatin News Examiner, https://www.tennessean.com
The Gallatin Newspaper, Dead Wiki Link
Grainger Today,Dead Wiki Link
The Greenville Sun, https://www.greenevillesun.com
Grundy County Herald,Dead Wiki Link
Herald & Tribune,URL Not Found
Herald-Chronicle,Dead Wiki Link
Herald-Citizen,http://herald-citizen.com/
The Jackson Sun,http://www.jacksonsun.com
Jasper Journal,Dead Wiki Link
Johnson City Press[2],Dead Wiki Link
Kingsport Times-News,http://timesnews.net/
KingstonSprings.org,Dead Wiki Link
Knoxville Daily Sun,Dead Wiki Link
The Knoxville Focus,No URL Found in infobox
Knoxville News Sentinel[2],https://www.knoxnews.com/
La Prensa Latina,Dead Wiki Link
LaFolette Press,Dead Wiki Link
Lawrence County Advocate,Dead Wiki Link
Leaf-Chronicle[2],http://theleafchronicle.com/
Lebanon Democrat,https://www.lebanondemocrat.com
Lee Clarion,http://www.leeuniversity.edu
Manchester Times,Dead Wiki Link
Maryville Daily Times,Dead Wiki Link
McNairy County News,No URL Found
Memphis Daily News,URL Not Found
Memphis Flyer,http://memphisflyer.com
Memphis Tri-State Defender,http://tsdmemphis.com
Monroe County Advocate & Democrat,URL Not Found
Mt. Juliet Chronicle,Dead Wiki Link
The Mountain Press, Dead Wiki Link
Murfreesboro Post,Dead Wiki Link
Murfreesboro Vision,Dead Wiki Link
Nashville City Paper,Nashville-news.com
Nashville Dispatch,Dead Wiki Link
Nashville Ledger,https://tnledger.com/Default.aspx
Nashville Medical News,Dead Wiki Link
Nashville Pride,URL Not Found
Nashville Scene,http://www.nashvillescene.com
Nashville Times and True Union,Dead Wiki Link
Newport Plain Talk,Dead Wiki Link
The Oak Ridger, http://www.oakridger.com/
Out & About Newspaper,http://www.outandaboutnewspaper.com/
Paris Post-Intelligencer,Dead Wiki Link
Portland Sun,Dead Wiki Link
Roane County News,Dead Wiki Link
The Rutherford Reader, Dead Wiki Link
Savannah Courier,Dead Wiki Link
Sewanee Mountain Messenger,Dead Wiki Link
South Pittsburg Hustler,Dead Wiki Link
Southern Standard,http://www.southernstandard.com
Tennessee Star Journal,Dead Wiki Link
Tennessee Tribune,http://tntribune.com
The Tennessean, http://www.tennessean.com/
Times Gazette,Dead Wiki Link
Tirade Media,Dead Wiki Link
Tullahoma News and Guardian,Dead Wiki Link
Union City Daily Messenger,URL Not Found
Weakley County Press,No URL Found
Williamson Herald,URL Not Found
Wilson Post,URL Not Found
Winchester Herald-Chronicle,Dead Wiki Link
