Abilene Reporter-News,http://reporternews.com/
Alice Echo-News Journal,http://www.aliceechonews.com
The Allen American,http://starlocalmedia.com/allenamerican
Alpine Avalanche,http://www.alpineavalanche.com
Alvin Sun-Advertiser,Dead Wiki Link
Amarillo Globe-News[2],http://amarillo.com
Amarillo Pioneer,No URL Found
Andrews County News,Dead Wiki Link
Arlington Citizen-Journal,No URL Found
Around La Porte,Dead Wiki Link
Arriba Art & Business News,Dead Wiki Link
Athens Daily Review,http://www.athensreview.com
Atlanta Citizens Journal,Dead Wiki Link
Austin American-Statesman[2],http://www.statesman.com/
Austin Business Journal[2],http://acbj.com/
The Austin Chronicle,http://austinchronicle.com
Bandera Bulletin,Dead Wiki Link
Bastrop Advertiser,URL Not Found
Bay Area Observer,Dead Wiki Link
The Baytown Sun,http://baytownsun.com/
Beaumont Enterprise,http://beaumontenterprise.com/
Big Bend Sentinel,Dead Wiki Link
Big Sandy & Hawkins Journal,Dead Wiki Link
Big Spring Herald,http://bigspringherald.com/
Blanco County News,Dead Wiki Link
Boerne Star,Dead Wiki Link
Borger News-Herald,http://www.borgernewsherald.com/
Bowie County Citizens Tribune,Dead Wiki Link
The Brackett News,Dead Wiki Link
Brazoria County News,Dead Wiki Link
The Brazosport Facts,http://www.thefacts.com
Breckenridge American,Dead Wiki Link
Brenham Banner-Press,http://brenhambanner.com/
Brownfield News,Dead Wiki Link
The Brownsville Herald,https://myrgv.com/category/the-brownsville-herald/
Brownwood Bulletin,http://brownwoodtx.com/
The Bryan-College Station Eagle,http://theeagle.com
Buena Suerte Spanish Newspaper,No URL Found
Bullard Banner News,Dead Wiki Link
Bulverde News,Dead Wiki Link
Burkburnett Informer-Star,Dead Wiki Link
Burleson Star,Dead Wiki Link
Burnet Bulletin,Dead Wiki Link
Cameron Herald,Dead Wiki Link
The Canadian Record[2],Dead Wiki Link
Caprock Courier,Dead Wiki Link
The Canyon News,http://www.canyonnews.com/
Carrollton Leader,Dead Wiki Link
Cass County Sun,Dead Wiki Link
Castro County News,Dead Wiki Link
Castroville News Bulletin,Dead Wiki Link
Cedar Creek Pilot,Dead Wiki Link
Cedar Hill Sentinel,Dead Wiki Link
Cedar Park-Leander Statesman,Dead Wiki Link
Celina Record,Dead Wiki Link
The Chandler & Brownsboro Statesman,Dead Wiki Link
Cherokeean Herald,Dead Wiki Link
Childress Index,Dead Wiki Link
Citizens Gazette,Dead Wiki Link
Clarendon Enterprise,Dead Wiki Link
Cleburne Times-Review,http://www.cleburnetimesreview.com
Cleveland Advocate,http://www.clevelandadvocate.com
The Colony Courier-Leader,Dead Wiki Link
The Comfort News,http://www.thecomfortnews.com/
Commercial Recorder[2],Dead Wiki Link
Community Impact Newspaper,http://communityimpact.com
The Community News,Dead Wiki Link
Coppell Gazette,Dead Wiki Link
Corpus Christi Caller-Times[2],http://caller.com
Corrigan Times,Dead Wiki Link
Corsicana Daily Sun,http://www.corsicanadailysun.com
Country World,Dead Wiki Link
The Courier,http://www.yourhoustonnews.com/courier/
Crane News,Dead Wiki Link
The Cross Timbers Gazette,Dead Wiki Link
Culturemap Austin,Dead Wiki Link
Daily Commercial Record,Dead Wiki Link
Daily Court Review,Dead Wiki Link
The Daily Sentinel,http://www.dailysentinel.com
Daingerfield Bee,Dead Wiki Link
Dalhart Texan,Dead Wiki Link
Dallas Business Journal,http://acbj.com/
The Dallas Morning News,https://www.dallasnews.com/
Del Rio News-Herald,http://delrionewsherald.com/
Denton Record-Chronicle,https://www.dentonrc.com/
Denver City Press,Dead Wiki Link
Dripping Springs Century-News,Dead Wiki Link
Dripping Springs News-Dispatch,Dead Wiki Link
Eagle Lake Headlight,Dead Wiki Link
The El Campo Leader-News,Dead Wiki Link
Elgin Courier,http://www.elgincourier.com
El Paso Times[2],http://elpasotimes.com/
Ennis Daily News,Dead Wiki Link
Farmersville Times,Dead Wiki Link
The Fayette County Record,Dead Wiki Link
Flatonia Argus,Dead Wiki Link
Flower Mound Leader,Dead Wiki Link
Floyd County Hesperian-Beacon,Dead Wiki Link
Focus Daily News,https://focusdailynews.com/index1.htm
Fort Bend Herald and Texas Coaster,http://fbherald.com/
The Fort Bend Sun,http://yourfortbendnews.com/
The Fort Stockton Pioneer,Dead Wiki Link
Fort Worth Business Press[2],Dead Wiki Link
Fort Worth Star-Telegram[2],http://www.star-telegram.com
Fort Worth Weekly,http://www.fwweekly.com
Forward Times,http://forwardtimesonline.com
The Frankston Citizen,Dead Wiki Link
Fredericksburg Standard,Dead Wiki Link
Freer Press,Dead Wiki Link
Friendswood Reporter News,Dead Wiki Link
Frisco Enterprise,Dead Wiki Link
Gainesville Daily Register,http://www.gainesvilleregister.com
Galveston County Daily News,http://galvnews.com/
The Gatesville Messenger,Dead Wiki Link
Gilmer Mirror,Dead Wiki Link
Gladewater Mirror,https://www.gladewatermirror.com/
Glen Rose Reporter,Dead Wiki Link
Gonzales Inquirer,Dead Wiki Link
Graham Leader,Dead Wiki Link
Grand Saline Sun,URL Not Found
Greenville Herald-Banner,https://www.heraldbanner.com
Groveton News,Dead Wiki Link
Gulf Coast Tribune,Dead Wiki Link
Hale Center American,Dead Wiki Link
The Hart Beat[2],Dead Wiki Link
Hays Free Press,Dead Wiki Link
Helotes Echo,Dead Wiki Link
Henderson Daily News,http://www.hendersondailynews.com
Herald Democrat,http://www.heralddemocrat.com/
The Hereford Brand,Dead Wiki Link
The Highlander,Dead Wiki Link
