The Salt Lake Tribune,http://www.sltrib.com/
Deseret News,http://deseret.com
Standard-Examiner,http://www.standard.net
Daily Herald,http://heraldextra.com
The Herald Journal,http://hjnews.com
American Fork Citizen,No URL Found
Basin Nickel Ads,Dead Wiki Link
The Beaver Press,Dead Wiki Link
Box Elder News Journal,URL Not Found
Canyon Country Zephyr,Dead Wiki Link
Cedar City News,Dead Wiki Link
Cedar City Review,URL Not Found
The City Journals,Dead Wiki Link
Cottonwood Heights Journal,Dead Wiki Link
Draper Journal,Dead Wiki Link
Herriman Journal,Dead Wiki Link
Holladay Journal,Dead Wiki Link
Midvale Journal,Dead Wiki Link
Millcreek Journal,Dead Wiki Link
Murray Journal,Dead Wiki Link
Riverton Journal,Dead Wiki Link
Sandy Journal,Dead Wiki Link
South Jordan Journal,Dead Wiki Link
South Salt Lake Journal,Dead Wiki Link
Sugarhouse Journal,Dead Wiki Link
Taylorsville Journal,Dead Wiki Link
West Jordan Journal,Dead Wiki Link
West Valley City Journal,Dead Wiki Link
Country Courier,Dead Wiki Link
Davis County Clipper,No URL Found
Emery County Progress,Dead Wiki Link
Goodwin's Weekly,No URL Found in infobox
The Green Sheet,none
Hilltop Times — Hill Air Force Base,Dead Wiki Link
Hurricane Valley Journal,No URL Found
Intermountain Catholic,Dead Wiki Link
Iron County Today,Dead Wiki Link
The Leader (Utah),Dead Wiki Link
Lehi Free Press,No URL Found
Lone Peak Press,No URL Found
Magna Times,URL Not Found
Millard County Chronicle Progress — Delta,Dead Wiki Link
Moab Times-Independent,Dead Wiki Link
The Morgan County News,Dead Wiki Link
Nebo Reporter,No URL Found
Ogden Valley News,No URL Found
Orem Geneva Times,No URL Found
Park Record,http://parkrecord.com
Pleasant Grove Review,No URL Found
Providence Citizen,Dead Wiki Link
The Pyramid — Mount Pleasant,Dead Wiki Link
QSaltLake,URL Not Found
The Richfield Reaper,http://www.richfieldreaper.com
Salt Lake City Weekly,http://www.cityweekly.net
San Juan Record,Dead Wiki Link
San Pete Free Press,No URL Found
Sanpete Messenger,Dead Wiki Link
Sentinel News,Dead Wiki Link
Serve Daily,Dead Wiki Link
Smithfield Sun,Dead Wiki Link
Southern Utah News,http://www.sunews.net/
Spanish Fork Press,No URL Found
The Spectrum,URL Not Found
Springville Herald,No URL Found
St. George News,Dead Wiki Link
Sun Advocate,No URL Found in infobox
The Times-News,Dead Wiki Link
Tooele Times Daily News,Dead Wiki Link
Tooele Transcript-Bulletin,URL Not Found
Uintah Basin Standard,Dead Wiki Link
Vernal Express,Dead Wiki Link
Wasatch County Courier,No URL Found
Wasatch Wave,http://www.wasatchwave.com
Wendover Times,Dead Wiki Link
The Daily Universe,Dead Wiki Link
The Student Review,Dead Wiki Link
The Daily Utah Chronicle,https://www.utah.edu
The Forum,Dead Wiki Link
The Globe,Dead Wiki Link
UVU Review,http://www.uvureview.com
The Signpost,Dead Wiki Link
The Snowdrift,Dead Wiki Link
SUU News,Dead Wiki Link
Sun News,URL Not Found
The Utah Statesman,Dead Wiki Link
