The Hill,https://thehill.com
Politico,https://politico.com
Roll Call,http://rollcall.com
Stars and Stripes,https://www.stripes.com/
The Washington Post,https://www.washingtonpost.com/
The Washington Times,http://www.washingtontimes.com/
Catholic Standard,http://www.cathstan.org
County News,Dead Wiki Link
DC Black,Dead Wiki Link
DC Spotlight Newspaper,Dead Wiki Link
The Georgetowner,Dead Wiki Link
El Imparcial Newspaper,Dead Wiki Link
El Pregonero,http://www.elpreg.org
Street Sense,https://streetsensemedia.org
El Tiempo Latino,http://eltiempolatino.com/
Metro Weekly,URL Not Found
The Washington Afro American,http://www.afro.com
Washington Blade,http://washingtonblade.com/
Washington Business Journal,http://acbj.com/
Washington City Paper,http://washingtoncitypaper.com/
The Washington Diplomat,http://www.washdiplomat.com
The Washington Examiner,https://www.washingtonexaminer.com/
Washington Hispanic,http://www.washingtonhispanic.com/
The Washington Informer,http://www.washingtoninformer.com
Washington Jewish Week (National Jewish Ledger),http://washingtonjewishweek.com
World Journal (DC edition),https://www.worldjournal.com
D.C. North,No URL Found
DC Line,Dead Wiki Link
East of the River,No URL Found
The Georgetown Dish,No URL Found
Hill Rag,http://www.capitalcommunitynews.com
The InTowner,No URL Found
MidcityDC,No URL Found
The Southwester,No URL Found
Washington Spark,No URL Found
The Eagle,Dead Wiki Link
The Georgetown Voice,URL Not Found
The GW Hatchet,http://www.gwhatchet.com/
The Hilltop,http://www.thehilltoponline.com/
The Hoya,http://www.thehoya.com/
The Tower,Dead Wiki Link
