Barbour Democrat,URL Not Found
Bluefield Daily Telegraph,https://www.bdtonline.com
Braxton Citizens' News,No URL Found in infobox
Braxton Democrat,Dead Wiki Link
Brooke County Review,Dead Wiki Link
Calhoun Chronicle,https://www.calhounchronicle.com/
Charleston Gazette-Mail,http://wvgazette.com/
Clay Free Press,Dead Wiki Link
Coal Valley News,http://CoalValleyNews.com
Doddridge Independent,Dead Wiki Link
Dominion Post,http://dominionpost.com
Exponent-Telegram,https://www.wvnews.com/theet/
Fayette Tribune,https://www.fayettetribune.com/
Glenville Democrat,Dead Wiki Link
Glenville Pathfinder,http://www.glenvillewv.com
Good News Paper,Dead Wiki Link
Grant County Press,Dead Wiki Link
Greenbrier Valley Ranger,http://wvdn.net
Hashtag Lewisburg WV City Paper,No URL Found
Hampshire Review,http://www.hampshirereview.com/
Herald Record,Dead Wiki Link
Herald-Dispatch,http://herald-dispatch.com
Intelligencer,http://theintelligencer.net
Inter-Mountain,http://TheIntermountain.com
Jackson County Citizen,Dead Wiki Link
Jackson Herald,http://www.jacksonnewspapers.com/
Jackson Star News,Dead Wiki Link
Journal,http://www.journal-news.net
Logan Banner,http://www.loganbanner.com
Mineral Daily News-Tribune,https://www.wvnews.com/mineralnews/?fs=e&s=cl
Monroe Watchman,No URL Found in infobox
Morgan Messenger,https://www.morganmessenger.com/
Moundsville Daily Echo,Dead Wiki Link
Mountain Messenger,Dead Wiki Link
Mountain Statesman,https://mountainstatesman.com
Nicholas Chronicle,http://www.nicholaschronicle.com
The Observer,No URL Found
Parkersburg News and Sentinel,http://www.newsandsentinel.com/
Pennsboro News,No URL Found in infobox
Pleasants County Leader,Dead Wiki Link
Pocahontas Times,https://pocahontastimes.com/
Point Pleasant Register,http://www.mydailyregister.com
Princeton Times,https://www.ptonline.net/
Putnam Standard,http://www.theputnamstandard.com/
Record Delta,https://therecorddelta.com/
Register-Herald,http://www.register-herald.com
Ritchie Gazette,Dead Wiki Link
Sentinel,Dead Wiki Link
Shepherdstown Chronicle,No URL Found
Shinnston News & Harrison County Journal,Dead Wiki Link
Spirit of Jefferson and Farmer's Advocate,http://www.spiritofjefferson.com/
St. Marys Oracle,http://www.oracleandleader.com/46483/2202/1/home
State Journal,http://www.statejournal.com
Sunday News-Register,No URL Found
Times West Virginian,http://www.timeswv.com/
Tyler Star News,http://www.tylerstarnews.com/
Wayne County News,http://herald-dispatch.com
Weirton Daily Times,Dead Wiki Link
Welch News,https://www.welchnews.com
West Virginia Daily News,https://wvdn.com
West Virginia Queer News,Dead Wiki Link
Wetzel Chronicle,URL Not Found
Wheeling News-Register,http://theintelligencer.net
Williamson Daily News,http://www.williamsondailynews.com
The Parthenon,https://marshallparthenon.com/
